post_id,title,category,score,num_comments,author,collected_at
47689165,"Show HN: I pipe free sports streams into Jellyfin – no ads, just HLS",sports,56,13,pruz,2026-04-08 22:47:42
47679258,System Card: Claude Mythos Preview [pdf],science,799,595,be7a,2026-04-08 22:47:43
47687464,Mario and Earendil,science,55,26,doppp,2026-04-08 22:47:44
47677853,GLM-5.1: Towards Long-Horizon Tasks,worldnews,596,243,zixuanlimit,2026-04-08 22:47:45
47678573,Cambodia unveils statue to honour famous landmine-sniffing rat,sports,466,109,speckx,2026-04-08 22:47:46
47650887,How to get better at guitar,worldnews,437,227,jwworth,2026-04-08 22:47:47
47634422,Native Americans had dice 12k years ago,entertainment,120,58,delichon,2026-04-08 22:47:48
47622436,Slightly safer vibecoding by adopting old hacker habits,entertainment,159,86,transpute,2026-04-08 22:47:49
47679121,Project Glasswing: Securing critical software for the AI era,technology,1455,764,Ryan5453,2026-04-08 22:47:50
47690415,Show HN: We fingerprinted 178 AI models' writing styles and similarity clusters,technology,62,18,nuancedev,2026-04-08 22:47:51
47657268,A truck driver spent 20 years making a scale model of every building in NYC,science,389,65,1659447091,2026-04-08 22:47:52
47680404,S3 Files,worldnews,359,107,werner,2026-04-08 22:47:53
47689550,"LLM plays an 8-bit Commander X16 game using structured ""smart senses""",technology,11,0,russellharper,2026-04-08 22:47:55
47681112,Show HN: An interactive map of Tolkien's Middle-earth,entertainment,267,54,frasermarlow,2026-04-08 22:47:56
47654629,The Harvard Library Passport,sports,37,13,fi-le,2026-04-08 22:47:57
47680309,Show HN: Gemma 4 Multimodal Fine-Tuner for Apple Silicon,entertainment,212,27,MediaSquirrel,2026-04-08 22:47:58
47624572,A database of analog cameras that can be 3D printed,technology,149,22,thomasjb,2026-04-08 22:47:59
47682276,US and Iran agree to provisional ceasefire,technology,569,1804,g-b-r,2026-04-08 22:48:01
47682719,Xilem – An experimental Rust native UI framework,worldnews,131,72,Levitating,2026-04-08 22:48:02
47637665,The Clock,sports,92,35,senko,2026-04-08 22:48:03
47653642,Binary obfuscation used in AAA Games,sports,128,80,noztol,2026-04-08 22:48:04
47677885,Rescuing old printers with an in-browser Linux VM bridged to WebUSB over USB/IP,technology,221,94,gmac,2026-04-08 22:48:05
47659135,Sam Altman may control our future – can he be trusted?,technology,2057,867,adrianhon,2026-04-08 22:48:06
47643326,Hobby CNC machining and resin casting (2015),sports,36,11,achierius,2026-04-08 22:48:07
47683376,JSIR: A High-Level IR for JavaScript,entertainment,77,29,nnx,2026-04-08 22:48:08
47692291,"Digital Hopes, Real Power: How the Arab Spring Fueled a Global Surveillance Boom",worldnews,8,0,hn_acker,2026-04-08 22:48:10
47691108,Wildlife Conservation Police Are Searching Flock Cameras for ICE,technology,10,1,lschueller,2026-04-08 22:48:11
47675213,Google open-sources experimental agent orchestration testbed Scion,technology,223,56,timbilt,2026-04-08 22:48:12
47654626,A whole boss fight in 256 bytes,technology,119,49,HellMood,2026-04-08 22:48:13
47658104,The Image Boards of Hayao Miyazaki,science,192,16,vinhnx,2026-04-08 22:48:14
47675372,Has electricity decoupled from natural gas prices in Germany?,sports,133,188,konschubert,2026-04-08 22:48:15
47692519,"A New Jersey Teen Finds Treasure, and More, in Abandoned Storage Units",entertainment,6,1,bookofjoe,2026-04-08 22:48:16
47692427,Teen Basketball Is for Pros,technology,5,0,mooreds,2026-04-08 22:48:17
47675893,A blind man made it possible for others with low vision to build Lego sets,entertainment,85,9,speckx,2026-04-08 22:48:18
47691409,Reproducibility and robustness of economics and political science research,science,5,0,lamename,2026-04-08 22:48:19
47673360,Show HN: Brutalist Concrete Laptop Stand (2024),entertainment,766,232,sam-bee,2026-04-08 22:48:20
47687755,Struggle Against the Gods,technology,48,6,marcofloriano,2026-04-08 22:48:21
47672295,Every GPU That Mattered,technology,323,201,jonbaer,2026-04-08 22:48:22
47681274,Bitcoin and quantum computing,science,160,120,nehan,2026-04-08 22:48:23
47685685,Acoustic Eavesdropping with Telecom Fiber Optic Cables,technology,17,0,Chaucer,2026-04-08 22:48:24
47680124,IPv6 is the only way forward,worldnews,89,267,quaintdev,2026-04-08 22:48:25
47664836,AI helps add 10k more photos to OldNYC,technology,139,46,evakhoury,2026-04-08 22:48:26
47672362,An Arctic Road Trip Brings Vital Underground Networks into View,technology,15,0,ibobev,2026-04-08 22:48:27
47675155,You can't cancel a JavaScript promise (except sometimes you can),worldnews,93,56,goodoldneon,2026-04-08 22:48:28
47671219,John Coltrane illustrates the mathematics of jazz,sports,127,20,luu,2026-04-08 22:48:29
47675625,Cloudflare targets 2029 for full post-quantum security,technology,375,112,ilreb,2026-04-08 22:48:30
47689059,Hacking Google Support: Leaking call logs and deanonymising agents,sports,7,2,llui85,2026-04-08 22:48:32
47663147,Launch HN: Freestyle – Sandboxes for Coding Agents,technology,318,155,benswerd,2026-04-08 22:48:32
47688498,Greece to ban under-15s from social media from next year,worldnews,29,15,austinallegro,2026-04-08 22:48:33
47691869,Façade (2005 Video Game),sports,5,0,jjmarr,2026-04-08 22:48:34
47691860,Supply chain nightmare: How Rust will be attacked and how to mitigate attacks,technology,7,0,randomint64,2026-04-08 22:48:35
47690049,Amazon rewards loyal Kindle devotees by closing the book on old e-readers,worldnews,23,11,beardyw,2026-04-08 22:48:36
47676557,Moving fast in hardware: lessons from lab to $100M ARR,worldnews,110,25,rryan,2026-04-08 22:48:37
47687181,US fired 1k JASSM cruise missiles in 37 days. Lockheed makes 396 per year,worldnews,37,22,realpolitik9,2026-04-08 22:48:38
47687533,I've sold out,worldnews,263,162,doppp,2026-04-08 22:48:39
47679155,Assessing Claude Mythos Preview's cybersecurity capabilities,science,300,43,sweis,2026-04-08 22:48:41
47672884,Identify a London Underground Line just by listening to it,sports,179,58,nelson687,2026-04-08 22:48:42
47677241,Taste in the age of AI and LLMs,technology,262,201,speckx,2026-04-08 22:48:43
47690369,Friendship Recession,worldnews,7,3,futurecat,2026-04-08 22:48:45
47675013,Dropping Cloudflare for Bunny.net,technology,403,201,shintoist,2026-04-08 22:48:46
47681361,Move Detroit,sports,67,88,rmason,2026-04-08 22:48:47
47667321,Peptides: where to begin?,technology,258,399,A_D_E_P_T,2026-04-08 22:48:48
47684898,Open Models have crossed a threshold,technology,17,1,gmays,2026-04-08 22:48:49
47627217,Running out of disk space in production,science,215,118,romes,2026-04-08 22:48:50
47637353,SQLite in Production: Lessons from Running a Store on a Single File,science,200,124,thunderbong,2026-04-08 22:48:51
47672318,Blackholing My Email,technology,175,35,semyonsh,2026-04-08 22:48:52
47688712,Ask HN: Should AI credits be refunded on mistakes?,technology,9,8,ed_elliott_asc,2026-04-08 22:48:53
47673005,We found an undocumented bug in the Apollo 11 guidance computer code,technology,421,197,henrygarner,2026-04-08 22:48:54
47677142,12k Tons of Dumped Orange Peel Grew into a Landscape Nobody Expected (2017),sports,298,120,pulisse,2026-04-08 22:48:55
47684506,LLM scraper bots are overloading acme.com's HTTPS server,technology,62,59,mjyut,2026-04-08 22:48:56
47680532,"Cells for NetBSD: kernel-enforced, jail-like isolation",technology,53,12,akagusu,2026-04-08 22:48:57
47631515,A new Postcrossing stamp from the USA,sports,79,22,Tomte,2026-04-08 22:48:58
47669337,Solod – A subset of Go that translates to C,entertainment,173,46,TheWiggles,2026-04-08 22:48:59
47680023,Tailslayer: Library for reducing tail latency in RAM reads,technology,65,19,hasheddan,2026-04-08 22:49:00
47626242,Second Revision of 6502 Laptop,technology,114,23,uticus,2026-04-08 22:49:01
47674027,Show HN: A cartographer's attempt to realistically map Tolkien's world,entertainment,160,31,intofarlands,2026-04-08 22:49:02
47628163,Boneyard: Generate pixel-perfect skeleton screens from your real DOM,entertainment,31,17,steveharing1,2026-04-08 22:49:03
47643779,ACE on a USB-HDMI Adapter,technology,23,6,theblazehen,2026-04-08 22:49:04
47672778,Breaking the console: a brief history of video game security,sports,93,26,sprado,2026-04-08 22:49:05
47670981,"Three hundred synths, 3 hardware projects, and one app",worldnews,120,18,ductionist,2026-04-08 22:49:08
47677882,Are We Legacy Computing Yet?,worldnews,39,1,tyoverby,2026-04-08 22:49:09
47673379,DeiMOS – A Superoptimizer for the MOS 6502,sports,77,17,Aransentin,2026-04-08 22:49:10
47691584,Trump Always Chickens Out,science,15,0,doener,2026-04-08 22:49:11
47682444,When the compiler lies: breaking memory safety in safe Go,sports,16,0,irke882,2026-04-08 22:49:12
47688638,"Operation ""Epic Fury"" Deepens Transatlantic Rift: U.S., EU at Odds over Security",science,14,6,vrganj,2026-04-08 22:49:13
47685320,Who Is Satoshi Nakamoto? My Quest to Unmask Bitcoin's Creator,sports,130,61,jfirebaugh,2026-04-08 22:49:14
47673880,Show HN: Pion/handoff – Move WebRTC out of browser and into Go,entertainment,96,17,Sean-Der,2026-04-08 22:49:15
47666024,Show HN: Ghost Pepper – Local hold-to-talk speech-to-text for macOS,entertainment,461,195,MattHart88,2026-04-08 22:49:17
47673394,"Show HN: Stop paying for Dropbox/Google Drive, use your own S3 bucket instead",entertainment,242,198,Zm44,2026-04-08 22:49:19
47676044,Show HN: Finalrun – Spec-driven testing using English and vision for mobile apps,entertainment,26,12,ashish004,2026-04-08 22:49:20
47636579,Show HN: Anos – a hand-written ~100KiB microkernel for x86-64 and RISC-V,entertainment,112,31,noone_youknow,2026-04-08 22:49:23
47641472,Floating point from scratch: Hard Mode,science,96,27,random__duck,2026-04-08 22:49:26
47683613,ICE acknowledges it is using powerful spyware,worldnews,64,8,dnemmers,2026-04-08 22:49:28
47629021,Global Physics Photowalk: 2025 winners revealed,worldnews,26,1,ibobev,2026-04-08 22:49:30
47651703,Microsoft hasn't had a coherent GUI strategy since Petzold,entertainment,815,572,naves,2026-04-08 22:49:33
47664186,"Battle for Wesnoth: open-source, turn-based strategy game",sports,536,162,akyuu,2026-04-08 22:49:34
47637828,Show HN: Tusk for macOS and Gnome,entertainment,118,46,factorialboy,2026-04-08 22:49:36
47660954,German police name alleged leaders of GandCrab and REvil ransomware groups,worldnews,322,158,Bender,2026-04-08 22:49:40
47636456,Sheets: Terminal based spreadsheet tool,sports,203,55,_____k,2026-04-08 22:49:41
47621133,Design for the Roller Coaster,worldnews,7,0,benwerd,2026-04-08 22:49:42
47652561,Gemma 4 on iPhone,sports,858,233,janandonly,2026-04-08 22:49:43
47647455,Caveman: Why use many token when few token do trick,worldnews,884,361,tosh,2026-04-08 22:49:44
47664912,The cult of vibe coding is dogfooding run amok,science,612,505,drob518,2026-04-08 22:49:45
47660286,What being ripped off taught me,sports,450,224,doctorhandshake,2026-04-08 22:49:46
47637116,"Signals, the push-pull based algorithm",worldnews,165,37,mpweiher,2026-04-08 22:49:47
47658146,France pulls last gold held in US,sports,615,352,teleforce,2026-04-08 22:49:49
47627998,VOID: Video Object and Interaction Deletion,science,181,54,bobsoap,2026-04-08 22:49:53
47682484,Minecraft Java Edition 26.2 Snapshot 1: Initial Vulkan Support,entertainment,14,2,exploraz,2026-04-08 22:49:54
47656501,The 1987 game “The Last Ninja” was 40 kilobytes,sports,305,190,keepamovin,2026-04-08 22:49:55
47662945,Show HN: GovAuctions lets you browse government auctions at once,worldnews,314,89,player_piano,2026-04-08 22:49:56
47682384,"GLM-5.1 matches Opus 4.6 in agentic performance, at ~1/3 actual cost",science,19,2,skysniper,2026-04-08 22:49:57
47682098,Ex-Meta worker investigated for downloading 30k private Facebook photos,entertainment,91,37,1659447091,2026-04-08 22:50:01
47665245,Agent Reading Test,worldnews,70,23,kaycebasques,2026-04-08 22:50:02
47685704,How the Vision Pro Rollout Inflamed Tensions at Apple,sports,15,4,f_allwein,2026-04-08 22:50:03
47677952,The Blueprint of a North Korean Attack on Open-Source,worldnews,29,11,brene,2026-04-08 22:50:04
47665685,Show HN: TTF-DOOM – A raycaster running inside TrueType font hinting,entertainment,65,12,4RH1T3CT0R,2026-04-08 22:50:08
47652400,Why Switzerland has 25 Gbit internet and America doesn't,science,803,691,sschueller,2026-04-08 22:50:10
